x_pos_terminal,y_pos_terminal,month,day,hour,minute
9.469793048615632,41.730252916935754,1.0,8.0,11.0,12.0
43.22125102360639,45.87452802279302,1.0,10.0,15.0,11.0
23.00245267001114,39.00308547815556,1.0,23.0,16.0,23.0
5.084327602305108,41.1188082735407,1.0,23.0,14.0,8.0
13.093965587483078,9.147794928093221,1.0,25.0,10.0,42.0
43.7523014528272,46.55195341169411,1.0,12.0,8.0,12.0
45.16236082321525,8.391899449701,1.0,6.0,15.0,23.0
35.745679834589694,37.009033480014,1.0,10.0,13.0,21.0
36.15487396282077,37.3415353589826,1.0,7.0,14.0,18.0
34.27100367921058,37.564712776285795,1.0,23.0,13.0,21.0
6.377702255291631,44.79436328368808,1.0,8.0,15.0,9.0
14.613265858441318,43.20334060048822,1.0,13.0,10.0,23.0
15.04664070612651,33.40706012661019,1.0,23.0,11.0,53.0
35.721992567242125,11.115760135538688,1.0,25.0,14.0,50.0
43.575788073172454,46.262216498162225,1.0,11.0,9.0,20.0
6.278309350899083,43.103359584239236,1.0,8.0,14.0,20.0
44.236569515770405,10.692220454348472,1.0,12.0,13.0,54.0
37.73713514565956,7.929585606089606,1.0,23.0,8.0,49.0
35.90836840343405,38.78833211030643,1.0,11.0,12.0,51.0
13.844501197528835,42.47158163050257,1.0,8.0,15.0,21.0
8.727675606176588,44.61232884805536,1.0,11.0,15.0,46.0
34.27681292534891,39.64919393709722,1.0,22.0,6.0,34.0
24.305750685668666,39.74100805893668,1.0,23.0,8.0,55.0
22.932305144225694,41.06834911872607,1.0,9.0,14.0,35.0
5.554382917487621,42.88980025168306,1.0,9.0,13.0,53.0
44.377865617456024,45.68283856535204,1.0,22.0,6.0,36.0
8.367521524381212,40.79061560352378,1.0,11.0,11.0,47.0
37.23875775318345,11.148064229029204,1.0,9.0,14.0,14.0
43.679028139868954,46.912023662673036,1.0,7.0,10.0,55.0
46.663326303183986,39.380447643787775,1.0,20.0,7.0,50.0
20.784165362860378,13.648439779406676,1.0,23.0,10.0,41.0
38.38500807978914,34.81220837137032,1.0,23.0,15.0,53.0
8.658065127047115,43.99989635547415,1.0,22.0,12.0,25.0
6.677060639598243,45.6930473929263,1.0,9.0,12.0,46.0
19.54747392694449,37.34860841329197,1.0,11.0,14.0,24.0
19.52804910621927,13.080394587287847,1.0,24.0,10.0,41.0
33.753632348459384,43.29301257661235,1.0,17.0,8.0,49.0
44.188405013206264,46.72595596927101,1.0,6.0,14.0,54.0
35.97543069286819,13.602748588943188,1.0,8.0,13.0,22.0
17.727621196157124,34.63592371659501,1.0,17.0,7.0,37.0
35.34104879488493,40.22680427441234,1.0,24.0,11.0,8.0
14.063604574722865,7.525650817283075,1.0,10.0,12.0,38.0
23.112883873255274,37.091952042996134,1.0,10.0,15.0,20.0
6.325147504636574,45.146897626159046,1.0,22.0,11.0,52.0
32.96091685021091,13.336545942812435,1.0,9.0,11.0,10.0
19.975522818884574,39.88994599625976,1.0,6.0,7.0,37.0
10.497636427777806,45.21647465941276,1.0,25.0,13.0,36.0
44.29628790110548,32.26481096963391,1.0,9.0,11.0,38.0
21.39067360608176,44.1919466124497,1.0,6.0,5.0,23.0
22.140781122445397,35.93841362177971,1.0,25.0,8.0,24.0
